n,l,energy,pde_loss,norm_loss,ortho_loss
1,0,0.873535395,0.000454454,0.995307624,0.000000000
1,0,0.740029931,0.000439731,0.994808257,0.000000000
1,0,0.557428718,0.000436266,0.993905544,0.000000000
1,0,0.367708981,0.000433140,0.992589295,0.000000000
1,0,0.198068112,0.000423791,0.990883589,0.000000000
1,0,0.058621585,0.000407214,0.988812208,0.000000000
1,0,-0.050949141,0.000384793,0.986414731,0.000000000
1,0,-0.127959073,0.000362967,0.983950675,0.000000000
1,0,-0.183719337,0.000342516,0.981476605,0.000000000
1,0,-0.225325167,0.000323731,0.979029417,0.000000000
1,0,-0.257213116,0.000306671,0.976633370,0.000000000
1,0,-0.282268405,0.000291296,0.974303722,0.000000000
1,0,-0.302285701,0.000277484,0.972049534,0.000000000
1,0,-0.318589419,0.000265065,0.969875872,0.000000000
1,0,-0.332086861,0.000253944,0.967784464,0.000000000
1,0,-0.343332499,0.000243971,0.965774834,0.000000000
1,0,-0.352889597,0.000235015,0.963845372,0.000000000
1,0,-0.361068040,0.000226998,0.961992919,0.000000000
1,0,-0.368106902,0.000219773,0.960213721,0.000000000
1,0,-0.374245405,0.000213293,0.958503366,0.000000000
1,0,-0.379622012,0.000207458,0.956857562,0.000000000
1,0,-0.384377807,0.000202186,0.955271363,0.000000000
1,0,-0.388614088,0.000197450,0.953740120,0.000000000
1,0,-0.392399460,0.000193159,0.952258766,0.000000000
1,0,-0.395747215,0.000189301,0.950822771,0.000000000
1,0,-0.398826897,0.000185836,0.949427426,0.000000000
1,0,-0.401626587,0.000182677,0.948068321,0.000000000
1,0,-0.404119492,0.000179868,0.946741164,0.000000000
1,0,-0.406492561,0.000177320,0.945441902,0.000000000
1,0,-0.408575356,0.000175028,0.944166422,0.000000000
1,0,-0.410548866,0.000172941,0.942911088,0.000000000
1,0,-0.412389427,0.000171086,0.941672325,0.000000000
1,0,-0.414070219,0.000169423,0.940446615,0.000000000
1,0,-0.415626734,0.000167946,0.939230919,0.000000000
1,0,-0.417146772,0.000166590,0.938022196,0.000000000
1,0,-0.418524683,0.000165407,0.936817467,0.000000000
1,0,-0.419861645,0.000164332,0.935614049,0.000000000
1,0,-0.421065629,0.000163438,0.934409261,0.000000000
1,0,-0.422245353,0.000162648,0.933200836,0.000000000
1,0,-0.423367590,0.000161956,0.931986392,0.000000000
1,0,-0.424427032,0.000161345,0.930763602,0.000000000
1,0,-0.425464123,0.000160845,0.929530561,0.000000000
1,0,-0.426403612,0.000160443,0.928285003,0.000000000
1,0,-0.427341849,0.000160127,0.927025199,0.000000000
1,0,-0.428209841,0.000159914,0.925749302,0.000000000
1,0,-0.429084331,0.000159731,0.924455523,0.000000000
1,0,-0.429908127,0.000159613,0.923142016,0.000000000
1,0,-0.430742741,0.000159600,0.921807468,0.000000000
1,0,-0.431519210,0.000159624,0.920449972,0.000000000
1,0,-0.432271302,0.000159733,0.919068098,0.000000000
1,0,-0.433012694,0.000159913,0.917660296,0.000000000
1,0,-0.433743149,0.000160084,0.916225314,0.000000000
1,0,-0.434430093,0.000160341,0.914761484,0.000000000
1,0,-0.435135454,0.000160680,0.913267434,0.000000000
1,0,-0.435783684,0.000161084,0.911741734,0.000000000
1,0,-0.436416715,0.000161492,0.910183072,0.000000000
1,0,-0.437075168,0.000161960,0.908590078,0.000000000
1,0,-0.437682539,0.000162475,0.906961381,0.000000000
1,0,-0.438327640,0.000163037,0.905295551,0.000000000
1,0,-0.438870639,0.000163671,0.903591096,0.000000000
1,0,-0.439495176,0.000164333,0.901847005,0.000000000
1,0,-0.440056950,0.000165041,0.900061429,0.000000000
1,0,-0.440628886,0.000165799,0.898233414,0.000000000
1,0,-0.441194504,0.000166606,0.896361291,0.000000000
1,0,-0.441765666,0.000167499,0.894443631,0.000000000
1,0,-0.442317367,0.000168338,0.892479062,0.000000000
1,0,-0.442854941,0.000169297,0.890466094,0.000000000
1,0,-0.443373173,0.000170234,0.888403296,0.000000000
1,0,-0.443888068,0.000171324,0.886289060,0.000000000
1,0,-0.444431692,0.000172342,0.884121895,0.000000000
1,0,-0.444917113,0.000173475,0.881900370,0.000000000
1,0,-0.445420384,0.000174654,0.879622519,0.000000000
1,0,-0.445921928,0.000175857,0.877287030,0.000000000
1,0,-0.446401030,0.000177098,0.874892235,0.000000000
1,0,-0.446889400,0.000178392,0.872436225,0.000000000
1,0,-0.447376907,0.000179703,0.869917154,0.000000000
1,0,-0.447859943,0.000181166,0.867333651,0.000000000
1,0,-0.448339581,0.000182567,0.864683509,0.000000000
1,0,-0.448800206,0.000184038,0.861965060,0.000000000
1,0,-0.449279577,0.000185548,0.859176397,0.000000000
1,0,-0.449713320,0.000187187,0.856315315,0.000000000
1,0,-0.450169951,0.000188786,0.853379965,0.000000000
1,0,-0.450620592,0.000190481,0.850368440,0.000000000
1,0,-0.451062888,0.000192194,0.847278416,0.000000000
1,0,-0.451493770,0.000193985,0.844107807,0.000000000
1,0,-0.451950908,0.000195767,0.840854466,0.000000000
1,0,-0.452386767,0.000197708,0.837515950,0.000000000
1,0,-0.452804148,0.000199639,0.834090173,0.000000000
1,0,-0.453242421,0.000201595,0.830574691,0.000000000
1,0,-0.453677028,0.000203682,0.826967120,0.000000000
1,0,-0.454091042,0.000205708,0.823265016,0.000000000
1,0,-0.454517782,0.000207887,0.819465816,0.000000000
1,0,-0.454941690,0.000210072,0.815566897,0.000000000
1,0,-0.455346614,0.000212358,0.811565816,0.000000000
1,0,-0.455789566,0.000214681,0.807459891,0.000000000
1,0,-0.456167102,0.000217077,0.803246140,0.000000000
1,0,-0.456588209,0.000219486,0.798922062,0.000000000
1,0,-0.457006305,0.000221978,0.794484913,0.000000000
